Date,Open,High,Low,Close,Volume,OpenInt
1977-06-07,0.45168,0.4593,0.45168,0.45549,2875845,0
1977-06-08,0.45549,0.46699,0.45549,0.46319,4882252,0
1977-06-09,0.46319,0.46699,0.46319,0.46699,4096412,0
1977-06-10,0.46699,0.47855,0.46699,0.47855,3795445,0
1977-06-13,0.47855,0.48231,0.47456,0.47855,7791535,0
1977-06-14,0.47855,0.48231,0.47456,0.47855,9196023,0
1977-06-15,0.47855,0.47855,0.47456,0.47855,6353606,0
1977-06-16,0.47855,0.47855,0.47081,0.47456,2273929,0
1977-06-17,0.47456,0.47456,0.47081,0.47081,1772326,0
1977-06-20,0.47081,0.47081,0.46699,0.47081,5300252,0
1977-06-21,0.47081,0.47456,0.47081,0.47081,4781934,0
1977-06-22,0.47081,0.47081,0.4593,0.4593,5283530,0
1977-06-23,0.4593,0.46319,0.4593,0.46319,3193529,0
1977-06-24,0.46319,0.47855,0.46319,0.47855,5935618,0
1977-06-27,0.47855,0.48995,0.47456,0.48995,3494492,0
1977-06-28,0.48995,0.48995,0.47081,0.47081,8209547,0
1977-06-29,0.47081,0.47081,0.46319,0.47081,7707937,0
1977-06-30,0.47081,0.47456,0.47081,0.47081,2424399,0
1977-07-01,0.47081,0.47456,0.46699,0.47081,1906084,0
1977-07-05,0.47081,0.47456,0.47081,0.47081,6587692,0
1977-07-06,0.47081,0.47456,0.47081,0.47456,1906084,0
1977-07-07,0.47081,0.47081,0.46699,0.47081,2558161,0
1977-07-08,0.47456,0.47855,0.47456,0.47855,4681609,0
1977-07-11,0.47855,0.47855,0.47081,0.47855,2140168,0
1977-07-12,0.47855,0.48231,0.47456,0.47456,6035935,0
1977-07-13,0.47456,0.48231,0.47456,0.47855,3210243,0
1977-07-15,0.48231,0.48622,0.48231,0.48622,1939528,0
1977-07-18,0.48622,0.5015,0.48622,0.49373,5617931,0
1977-07-19,0.49373,0.49743,0.49373,0.49373,7557450,0
1977-07-20,0.49373,0.49743,0.49373,0.49373,7390243,0
1977-07-21,0.49373,0.49373,0.48995,0.48995,3895771,0
1977-07-22,0.48995,0.48995,0.48231,0.48995,3293845,0
1977-07-25,0.48995,0.48995,0.48231,0.48231,2457844,0
1977-07-26,0.48231,0.48231,0.47855,0.48231,2039847,0
1977-07-27,0.48231,0.48231,0.47081,0.47081,2457844,0
1977-07-28,0.47081,0.47855,0.46699,0.47456,5300252,0
1977-07-29,0.47456,0.47456,0.46699,0.47456,2775520,0
1977-08-01,0.47855,0.48231,0.47855,0.47855,1671999,0
1977-08-02,0.47855,0.47855,0.47456,0.47456,2039847,0
1977-08-03,0.47456,0.47456,0.46699,0.47081,2056561,0
1977-08-04,0.47081,0.47855,0.47081,0.47456,2541446,0
1977-08-05,0.47456,0.47855,0.47456,0.47456,4213447,0
1977-08-08,0.47456,0.47456,0.46699,0.47081,802563,0
1977-08-09,0.47081,0.47855,0.47081,0.47456,6086089,0
1977-08-10,0.47456,0.49373,0.47456,0.49373,6955535,0
1977-08-11,0.49373,0.49743,0.48231,0.48231,11018503,0
1977-08-12,0.48231,0.48622,0.47855,0.48231,7624333,0
